"codice","nome","cognome","cf","indirizzo","tel","email","dataNas"
"1","Giuseppe","Bianchi","BNCGSP94H19Y994H","Via Donizetti, 47, 24040 Clusone (BG)","369091984","giuseppe.bianchi67@gmail.com","1994-06-19"
"2","Lorenzo","Colombo","CLMLRN98P13D158W","Via Cavour, 98, 24087 Seriate (BG)","333732444","lorenzo.colombo72@gmail.com","1998-09-13"
"3","Greta","Greco","GRCGRT82L47B336S","Via Donizetti, 117, 24013 Treviglio (BG)","346028615","greta.greco29@gmail.com","1982-07-07"
"4","Lorenzo","Ferrari","FRRLRN53E25E979R","Via Papa Giovanni XXIII, 77, 24076 Albino (BG)","375380579","lorenzo.ferrari04@gmail.com","1953-05-25"
"5","Anna","Russo","RSSNNX93M51T765R","Via Verdi, 20, 24041 Bergamo (BG)","362947416","anna.russo99@gmail.com","1993-08-11"
"6","Maria","Rossi","RSSMRX52E43E794H","Via Crescenzi, 106, 24073 Osio Sotto (BG)","373509614","maria.rossi30@gmail.com","1952-05-03"
"7","Lorenzo","Costa","CSTLRN58T17O871F","Via Verdi, 72, 24046 Bergamo (BG)","396857002","lorenzo.costa26@gmail.com","1958-12-17"
"8","Greta","Rossi","RSSGRT62T68D756A","Via Carducci, 122, 24044 Osio Sotto (BG)","328323902","greta.rossi83@gmail.com","1962-12-28"
"9","Riccardo","Conti","CNTRCC64S04I426J","Via Donizetti, 124, 24057 Dalmine (BG)","336990768","riccardo.conti04@gmail.com","1964-11-04"
"10","Sara","Mancini","MNCSRX88L61B127Q","Via Giovanni Paolo II, 114, 24096 Treviglio (BG)","328414494","sara.mancini74@gmail.com","1988-07-21"
"11","Martina","Gallo","GLLMRT72R55L719G","Via Papa Giovanni XXIII, 101, 24040 Bergamo (BG)","398606121","martina.gallo19@gmail.com","1972-10-15"
"12","Emma","Gallo","GLLMMX96M41Z789C","Via Crescenzi, 129, 24061 Bergamo (BG)","377738733","emma.gallo93@gmail.com","1996-08-01"
"13","Vittoria","Colombo","CLMVTT93D52A854U","Via Guglielmo d'Alzano, 19, 24016 Osio Sotto (BG)","378572555","vittoria.colombo21@gmail.com","1993-04-12"
"14","Christian","Leone","LNXCHR76M29C409Q","Via Carducci, 14, 24030 Osio Sotto (BG)","374740769","christian.leone09@gmail.com","1976-08-29"
"15","Aurora","Gallo","GLLRRX64B65T981C","Viale Vittorio Emanuele II, 83, 24003 Dalmine (BG)","337247754","aurora.gallo34@gmail.com","1964-02-25"
"16","Anna","Ricci","RCCNNX93E58O766T","Via Leopardi, 3, 24006 Stezzano (BG)","380451661","anna.ricci57@gmail.com","1993-05-18"
"17","Martina","Rizzo","RZZMRT57D44G667N","Viale Vittorio Emanuele II, 66, 24095 Albino (BG)","362269886","martina.rizzo91@gmail.com","1957-04-04"
"18","Maria","Bruno","BRNMRX88M44H840U","Via Verdi, 4, 24067 Albino (BG)","380294386","maria.bruno39@gmail.com","1988-08-04"
"19","Christian","Marino","MRNCHR76P29B789H","Via Roma, 40, 24061 Stezzano (BG)","373075440","christian.marino27@gmail.com","1976-09-29"
"20","Luca","Greco","GRCLCX71L02D285R","Via San Bernardino, 55, 24096 Bergamo (BG)","373651410","luca.greco84@gmail.com","1971-07-02"
"21","Federico","Conti","CNTFDR78R07U216Z","Via Roma, 78, 24001 Bergamo (BG)","363654425","federico.conti26@gmail.com","1978-10-07"
"22","Emma","Esposito","SPSMMX00S41U652Z","Via Roma, 52, 24024 Seriate (BG)","356888677","emma.esposito04@gmail.com","2000-11-01"
"23","Giuseppe","Rossi","RSSGSP63T21E540J","Via Donizetti, 118, 24027 Bergamo (BG)","339753739","giuseppe.rossi19@gmail.com","1963-12-21"
"24","Simone","Gallo","GLLSMN96D22J166V","Via Leopardi, 54, 24067 Bergamo (BG)","328087602","simone.gallo95@gmail.com","1996-04-22"
"25","Antonio","Caruso","CRSNTN68C28W261S","Via Crescenzi, 60, 24040 Stezzano (BG)","351144804","antonio.caruso27@gmail.com","1968-03-28"
"26","Alice","Romano","RMNLCX99C50O790U","Via Giovanni Paolo II, 106, 24044 Dalmine (BG)","332655279","alice.romano62@gmail.com","1999-03-10"
"27","Davide","Costa","CSTDVD98S08S888A","Via Giovanni Paolo II, 87, 24046 Bergamo (BG)","350650086","davide.costa58@gmail.com","1998-11-08"
"28","Luca","Conti","CNTLCX69R14A306Y","Via Giovanni Paolo II, 71, 24052 Albino (BG)","395886627","luca.conti33@gmail.com","1969-10-14"
"29","Giovanni","Rossi","RSSGVN57T30U736R","Via Carducci, 114, 24071 Stezzano (BG)","366965325","giovanni.rossi82@gmail.com","1957-12-30"
"30","Chiara","Rizzo","RZZCHR69E49A654F","Via Papa Giovanni XXIII, 111, 24076 Bergamo (BG)","323639030","chiara.rizzo21@gmail.com","1969-05-09"
"31","Giuseppe","Conti","CNTGSP01P27R506Y","Via Donizetti, 35, 24098 Clusone (BG)","397078997","giuseppe.conti40@gmail.com","2001-09-27"
"32","Riccardo","Romano","RMNRCC71E07H665I","Via Guglielmo d'Alzano, 66, 24052 Treviglio (BG)","365600397","riccardo.romano43@gmail.com","1971-05-07"
"33","Anna","Bianchi","BNCNNX05T59Z091U","Via Leopardi, 26, 24046 Seriate (BG)","348507756","anna.bianchi53@gmail.com","2005-12-19"
"34","Aurora","Russo","RSSRRX05A60U449A","Via Giovanni Paolo II, 132, 24096 Stezzano (BG)","379173587","aurora.russo10@gmail.com","2005-01-20"
"35","Giuseppe","Caruso","CRSGSP52E23L096S","Viale Vittorio Emanuele II, 55, 24040 Bergamo (BG)","394927157","giuseppe.caruso21@gmail.com","1952-05-23"
"36","Lorenzo","Gallo","GLLLRN91H01X424E","Via Papa Giovanni XXIII, 85, 24098 Treviglio (BG)","377473405","lorenzo.gallo01@gmail.com","1991-06-01"
"37","Sara","Costa","CSTSRX58E67T448I","Via Roma, 135, 24039 Dalmine (BG)","371451548","sara.costa65@gmail.com","1958-05-27"
"38","Anna","Ferrari","FRRNNX98M50Q020H","Via Guglielmo d'Alzano, 26, 24053 Clusone (BG)","397716513","anna.ferrari24@gmail.com","1998-08-10"
"39","Sofia","Gallo","GLLSFX53B60G086S","Via Leopardi, 14, 24037 Stezzano (BG)","398602076","sofia.gallo12@gmail.com","1953-02-20"
"40","Vittoria","Rossi","RSSVTT90P46H981I","Via Garibaldi, 110, 24033 Albino (BG)","368020039","vittoria.rossi06@gmail.com","1990-09-06"
"41","Davide","Bruno","BRNDVD92S25Q051S","Via Roma, 135, 24003 Bergamo (BG)","325301076","davide.bruno06@gmail.com","1992-11-25"
"42","Anna","Mancini","MNCNNX67A43A050T","Via Cavour, 112, 24041 Albino (BG)","356642914","anna.mancini99@gmail.com","1967-01-03"
"43","Vittoria","Gallo","GLLVTT64S48Y617C","Via Crescenzi, 84, 24027 Albino (BG)","368373015","vittoria.gallo80@gmail.com","1964-11-08"
"44","Greta","Colombo","CLMGRT68H42T844C","Via Leopardi, 130, 24017 Clusone (BG)","344855856","greta.colombo17@gmail.com","1968-06-02"
"45","Alessandro","Romano","RMNLSS69T05D136B","Via Donizetti, 66, 24082 Albino (BG)","330175916","alessandro.romano20@gmail.com","1969-12-05"
"46","Maria","Rossi","RSSMRX69E68T222V","Via Crescenzi, 68, 24037 Seriate (BG)","359362607","maria.rossi90@gmail.com","1969-05-28"
"47","Chiara","Rizzo","RZZCHR55B67C600Q","Via Roma, 112, 24012 Osio Sotto (BG)","393650412","chiara.rizzo52@gmail.com","1955-02-27"
"48","Luca","Romano","RMNLCX85A06O413H","Via Papa Giovanni XXIII, 52, 24012 Bergamo (BG)","347501888","luca.romano35@gmail.com","1985-01-06"
"49","Christian","Gallo","GLLCHR59R18P930L","Via Carducci, 113, 24087 Bergamo (BG)","363238700","christian.gallo65@gmail.com","1959-10-18"
"50","Giulia","Ferrari","FRRGLX71S56R561B","Via Guglielmo d'Alzano, 129, 24030 Stezzano (BG)","379673771","giulia.ferrari67@gmail.com","1971-11-16"
"51","Sofia","Fontana","FNTSFX59L64L287T","Via Garibaldi, 42, 24020 Osio Sotto (BG)","361122019","sofia.fontana18@gmail.com","1959-07-24"
"52","Riccardo","Fontana","FNTRCC90A13U786I","Via Guglielmo d'Alzano, 20, 24068 Treviglio (BG)","358903107","riccardo.fontana65@gmail.com","1990-01-13"
"53","Sara","Marino","MRNSRX57D69Y784E","Via Papa Giovanni XXIII, 102, 24046 Stezzano (BG)","336228046","sara.marino35@gmail.com","1957-04-29"
"54","Alessandro","Costa","CSTLSS69D25M112U","Via San Bernardino, 70, 24095 Treviglio (BG)","347694973","alessandro.costa28@gmail.com","1969-04-25"
"55","Emma","Romano","RMNMMX02P51L191M","Via Papa Giovanni XXIII, 134, 24027 Albino (BG)","350589956","emma.romano73@gmail.com","2002-09-11"
